name,source,collection_date,satellite_number,classification,launch_year,launch_number,launch_piece,epoch_year,epoch_day,inclination_deg,right_ascension_deg,eccentricity,argument_of_perigee_deg,mean_anomaly_deg,mean_motion,orbital_period_minutes,approximate_altitude_km,mean_motion_derivative,mean_motion_second_derivative,drag_term,element_set_number,revolution_number,line1,line2,category
ISS (ZARYA),celestrak_stations,2025-07-29T17:08:37.399793,25544,U,1998,67,A,2025,210.88923082,51.636,95.419,0.0002167,129.1276,319.5356,15.50207453,92.89079324275446,0,0.00012694,0.0,0.0022837,999,52178,1 25544U 98067A   25210.88923082  .00012694  00000+0  22837-3 0  9996,2 25544  51.6360  95.4190 0002167 129.1276 319.5356 15.50207453521782,important
ISS (NAUKA),celestrak_stations,2025-07-29T17:08:37.399831,49044,U,2021,66,A,2025,210.4865847,51.6344,97.4197,0.0001945,130.2872,229.8287,15.50196064,92.89147569400615,0,0.00012831,0.0,0.0023083,999,22767,1 49044U 21066A   25210.48658470  .00012831  00000+0  23083-3 0  9991,2 49044  51.6344  97.4197 0001945 130.2872 229.8287 15.50196064227674,important
CREW DRAGON 10,celestrak_stations,2025-07-29T17:08:37.399880,63204,U,2025,49,A,2025,210.4865847,51.6344,97.4197,0.0001945,130.2872,229.8287,15.50196064,92.89147569400615,0,0.00012831,0.0,0.0023083,999,2103,1 63204U 25049A   25210.48658470  .00012831  00000+0  23083-3 0  9990,2 63204  51.6344  97.4197 0001945 130.2872 229.8287 15.50196064 21030,important
ISS (ZARYA),celestrak_active,2025-07-29T17:08:40.652123,25544,U,1998,67,A,2025,210.88923082,51.636,95.419,0.0002167,129.1276,319.5356,15.50207453,92.89079324275446,0,0.00012694,0.0,0.0022837,999,52178,1 25544U 98067A   25210.88923082  .00012694  00000+0  22837-3 0  9996,2 25544  51.6360  95.4190 0002167 129.1276 319.5356 15.50207453521782,important
SWISSCUBE,celestrak_active,2025-07-29T17:08:40.653561,35932,U,2009,51,B,2025,210.47573992,98.4241,107.6352,0.0007788,129.0472,231.1423,14.61431496,98.5335271575398,0,1.062e-05,0.0,0.0022448000000000004,999,84200,1 35932U 09051B   25210.47573992  .00001062  00000+0  22448-3 0  9994,2 35932  98.4241 107.6352 0007788 129.0472 231.1423 14.61431496842000,important
LANDSAT 8,celestrak_active,2025-07-29T17:08:40.654790,39084,U,2013,8,A,2025,210.55310804,98.2235,280.5057,0.0001241,89.8791,270.255,14.57113045,98.82555131472314,0,3.67e-06,0.0,0.00091482,999,65091,1 39084U 13008A   25210.55310804  .00000367  00000+0  91482-4 0  9995,2 39084  98.2235 280.5057 0001241  89.8791 270.2550 14.57113045650915,important
FALCONSAT-6,celestrak_active,2025-07-29T17:08:40.659381,43815,U,2018,99,BK,2025,210.3763058,97.4874,284.7423,0.0017372,7.2195,121.4302,15.23513212,94.5183795360483,0,2.291e-05,0.0,0.00098663,999,36451,1 43815U 18099BK  25210.37630580  .00002291  00000+0  98663-4 0  9999,2 43815  97.4874 284.7423 0017372   7.2195 121.4302 15.23513212364513,important
STARLINK-1008,celestrak_active,2025-07-29T17:08:40.660065,44714,U,2019,74,B,2025,210.44760378,53.0548,108.7931,0.0001134,84.0068,276.1051,15.06408417,95.59160608434121,0,3.014e-05,0.0,0.0022109,999,31510,1 44714U 19074B   25210.44760378  .00003014  00000+0  22109-3 0  9994,2 44714  53.0548 108.7931 0001134  84.0068 276.1051 15.06408417315109,important
STARLINK-1010,celestrak_active,2025-07-29T17:08:40.660070,44716,U,2019,74,D,2025,210.37841901,53.0529,82.8298,0.0002789,189.7624,170.3335,15.62541077,92.15757724364772,0,0.00138542,0.0,0.015055,999,31544,1 44716U 19074D   25210.37841901  .00138542  00000+0  15055-2 0  9996,2 44716  53.0529  82.8298 0002789 189.7624 170.3335 15.62541077315445,important
STARLINK-1011,celestrak_active,2025-07-29T17:08:40.660076,44717,U,2019,74,E,2025,209.92152758,53.0535,131.1446,0.0003762,36.8675,323.2573,15.07628546,95.51424346670602,0,0.00282993,0.0,0.17672000000000002,999,31474,1 44717U 19074E   25209.92152758  .00282993  00000+0  17672-1 0  9997,2 44717  53.0535 131.1446 0003762  36.8675 323.2573 15.07628546314747,important
STARLINK-1012,celestrak_active,2025-07-29T17:08:40.660081,44718,U,2019,74,F,2025,210.42549263,53.0549,108.8933,0.0001344,88.7275,271.3868,15.06403543,95.59191537297121,0,2.332e-05,0.0,0.0017537000000000002,999,31509,1 44718U 19074F   25210.42549263  .00002332  00000+0  17537-3 0  9995,2 44718  53.0549 108.8933 0001344  88.7275 271.3868 15.06403543315097,important
