site_code,site_name,forecast_time,collected_at,temperature_c,feels_like_c,temp_min_c,temp_max_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_direction_deg,wind_gust_ms,weather_main,weather_description,rain_3h_mm,snow_3h_mm,precipitation_probability_percent,cloud_cover_percent,latitude,longitude,timezone
KSC,Kennedy Space Center,2025-07-27T22:00:00,2025-07-27T20:09:45.945184,28.99,34.5,28.75,28.99,79,1017,1.56,140,1.65,Clear,clear sky,0.0,0,0.0,2,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T01:00:00,2025-07-27T20:09:45.945197,27.86,32.05,27.24,27.86,82,1018,1.31,219,1.32,Clear,clear sky,0.0,0,0.0,3,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T04:00:00,2025-07-27T20:09:45.945203,26.2,26.2,26.2,26.2,87,1018,1.26,237,1.25,Clouds,few clouds,0.0,0,0.0,11,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T07:00:00,2025-07-27T20:09:45.945208,28.1,32.51,28.1,28.1,81,1018,1.39,190,1.85,Clear,clear sky,0.0,0,0.0,9,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T10:00:00,2025-07-27T20:09:45.945212,33.28,40.24,33.28,33.28,60,1019,1.56,113,1.85,Clear,clear sky,0.0,0,0.0,6,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T13:00:00,2025-07-27T20:09:45.945216,34.57,41.57,34.57,34.57,56,1018,4.23,95,3.6,Clear,clear sky,0.0,0,0.0,5,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T16:00:00,2025-07-27T20:09:45.945220,31.68,36.06,31.68,31.68,59,1017,4.36,118,3.71,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T19:00:00,2025-07-27T20:09:45.945223,28.5,32.49,28.5,28.5,75,1017,4.26,136,6.65,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-28T22:00:00,2025-07-27T20:09:45.945226,27.29,30.51,27.29,27.29,81,1017,3.12,172,6.44,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T01:00:00,2025-07-27T20:09:45.945230,26.52,26.52,26.52,26.52,84,1017,3.33,189,7.34,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T04:00:00,2025-07-27T20:09:45.945233,25.23,26.08,25.23,25.23,87,1016,2.68,204,5.49,Clear,clear sky,0.0,0,0.0,5,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T07:00:00,2025-07-27T20:09:45.945236,26.43,26.43,26.43,26.43,80,1017,2.49,194,4.02,Clear,clear sky,0.0,0,0.0,2,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T10:00:00,2025-07-27T20:09:45.945239,31.49,34.86,31.49,31.49,56,1018,3.56,167,3.61,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T13:00:00,2025-07-27T20:09:45.945242,33.57,37.47,33.57,33.57,50,1017,5.1,142,3.55,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T16:00:00,2025-07-27T20:09:45.945245,32.2,36.63,32.2,32.2,57,1016,6.04,132,5.07,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T19:00:00,2025-07-27T20:09:45.945248,28.84,33.89,28.84,28.84,78,1016,4.88,145,8.12,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-29T22:00:00,2025-07-27T20:09:45.945251,27.86,32.05,27.86,27.86,82,1017,4.62,160,8.42,Clear,clear sky,0.0,0,0.0,1,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T01:00:00,2025-07-27T20:09:45.945254,26.43,26.43,26.43,26.43,83,1016,2.19,195,4.11,Rain,light rain,0.62,0,51.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T04:00:00,2025-07-27T20:09:45.945257,26.25,26.25,26.25,26.25,82,1016,2.54,178,4.2,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T07:00:00,2025-07-27T20:09:45.945263,27.08,29.63,27.08,27.08,77,1017,2.35,204,3.41,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T10:00:00,2025-07-27T20:09:45.945266,32.53,37.38,32.53,32.53,57,1018,1.81,183,2.28,Clear,clear sky,0.0,0,0.0,0,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T13:00:00,2025-07-27T20:09:45.945271,33.48,39.28,33.48,33.48,56,1016,4.39,136,4.07,Clear,clear sky,0.0,0,0.0,6,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T16:00:00,2025-07-27T20:09:45.945274,29.66,34.91,29.66,29.66,73,1016,3.51,120,5.31,Rain,light rain,0.29,0,31.0,90,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T19:00:00,2025-07-27T20:09:45.945279,28.78,33.74,28.78,28.78,78,1016,4.57,171,7.68,Rain,light rain,0.39,0,44.0,92,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-30T22:00:00,2025-07-27T20:09:45.945282,27.61,31.02,27.61,27.61,79,1017,3.69,184,7.43,Rain,light rain,0.7,0,84.0,53,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-31T01:00:00,2025-07-27T20:09:45.945287,26.86,29.43,26.86,26.86,80,1016,2.75,207,6.73,Clouds,scattered clouds,0.0,0,72.0,27,28.5721,-80.648,America/New_York
KSC,Kennedy Space Center,2025-07-31T04:00:00,2025-07-27T20:09:45.945309,26.03,26.03,26.03,26.03,83,1017,1.96,262,2.28,Clear,clear sky,0.0,0,4.0,3,28.5721,-80.648,America/New_York
